tweet_id,username,timestamp,planet_category,planet_type,tweet_text,likes,retweets,replies,sentiment_score,toxicity_score,keywords
tw_000074,just_mind4702,2023-08-24 10:34:05,Hyper-Partisan Populism,polarizing,real people: every institution is establishment. Only WE can stop it.,14529,2656,878,-0.997,0.527,"establishment, institution"
tw_000075,real_mind2196,2023-05-21 03:16:32,Hyper-Partisan Populism,polarizing,The government doesn't want you to know about real people. SHARE THIS.,7308,4936,789,-0.414,0.618,"government, doesnt, share"
tw_000076,truth_patriot9648,2022-05-29 06:34:37,Religious Extremism,polarizing,The corruption is a sin against infidels. God sees all.,14088,3291,1738,-0.286,0.561,"infidels, corruption, sin, against, god, sees"
tw_000077,the_mind6153,2023-06-06 17:41:08,Gender Essentialism Extremism,polarizing,Denying delusion doesn't make it disappear. science is real.,9748,6137,1060,-0.427,0.734,"delusion, denying, doesnt, disappear, science"
tw_000078,the_thinker8657,2022-03-11 01:43:35,Bridge Planet,integrative,I'm tired of being told who to hate. I'd rather learn who to understand.,5645,7002,2905,0.324,0.106,"tired, told, hate, rather, learn, understand"
tw_000079,plain_patriot4508,2023-07-02 15:34:35,Eco-Authoritarianism,polarizing,No rights for destroyer destroyers. collapse above human comfort.,3091,5754,1233,-0.238,0.946,"collapse, rights, destroyer, destroyers, above, human"
tw_000080,ultra_seeker8000,2022-10-15 04:45:34,Ethnonationalism,polarizing,Why are we letting outsiders destroy our native? #OurNation,12846,611,395,-0.567,0.881,"native, letting, outsiders, destroy, ournation"
tw_000081,just_seeker4599,2023-04-25 12:37:12,Gender Essentialism Extremism,polarizing,The common sense agenda wants to erase natural order. Not on our watch.,5551,292,2599,-0.5,0.868,"natural order, common, sense, agenda, wants, erase"
tw_000082,real_citizen1526,2024-06-21 03:12:20,Eco-Authoritarianism,polarizing,"eco-fascism: until we enforce it, the planet dies. Period.",5561,1832,2795,-0.886,0.5,"ecofascism, enforce, planet, dies, period"
tw_000083,official_fighter5190,2023-09-25 19:25:22,Bridge Planet,integrative,What if the person you hate most online is just... scared too? #Perspective,13000,6025,863,0.826,0.147,"person, hate, online, scared, perspective"
tw_000084,official_mind2448,2024-02-09 00:29:14,Religious Extremism,polarizing,God's will demands we oppose the corruption. No compromise.,857,2579,2864,-0.674,0.457,"gods, demands, oppose, corruption, compromise"
tw_000085,just_eye4342,2023-01-24 03:20:26,Ethnonationalism,polarizing,My native is not negotiable. agenda out of our lands.,3817,2099,1230,-0.926,0.666,"native, negotiable, agenda, lands"
tw_000086,the_watcher5512,2023-07-03 15:57:35,Hyper-Partisan Populism,polarizing,"fake news is not a conspiracy, it's reality. Open your eyes. #WakeUp",5826,5099,1377,-0.29,0.646,"fake news, fake, news, conspiracy, reality, open"
tw_000087,ultra_fighter3055,2022-07-04 07:34:08,Bridge Planet,integrative,Empathy is not agreement. It's the foundation of every solution we've ever found.,9737,3319,2726,0.548,0.048,"empathy, agreement, foundation, solution, weve, ever"
tw_000088,just_eye4388,2023-04-30 17:12:53,Bridge Planet,integrative,What would happen if we listened twice as much as we spoke online? #Kindness,16685,3458,250,0.581,0.018,"kindness, happen, listened, twice, spoke, online"
tw_000089,just_pulse4431,2023-06-22 11:49:01,Bridge Planet,integrative,"When we stop seeing people as threats, we start seeing them as neighbors.",12468,2017,4629,0.588,0.182,"seeing, threats, start, neighbors"
tw_000090,voice6248,2023-06-18 06:58:40,Ethnonationalism,polarizing,enemy is destroying everything our ancestors built. #Heritage,2998,785,1274,-0.716,0.832,"heritage, enemy, destroying, ancestors, built"
tw_000091,the_citizen1917,2023-08-31 16:51:13,Hyper-Partisan Populism,polarizing,They silence us because corrupt threatens the propaganda machine. RESIST.,14774,7074,1219,-0.75,0.749,"corrupt, propaganda, silence, threatens, machine, resist"
tw_000092,just_fighter4124,2022-05-26 17:42:53,Religious Extremism,polarizing,They mock heretics and call it progress. They will be judged.,5143,3191,891,-0.379,0.776,"heretics, mock, progress, judged"
tw_000093,official_pulse7765,2022-10-09 11:11:15,Ethnonationalism,polarizing,demographic shift is destroying everything our ancestors built. #Heritage,3091,7003,2421,-0.497,0.53,"demographic, heritage, shift, destroying, ancestors, built"
tw_000094,ultra_citizen3201,2023-11-29 14:57:41,Bridge Planet,integrative,Our differences are not the problem. How we treat each other is.,24534,11254,1284,0.794,0.142,"differences, problem, treat"
tw_000095,plain_thinker7339,2022-05-05 00:38:56,Bridge Planet,integrative,Bridging the divide is the hardest and most necessary work of our time.,18590,58,828,0.582,0.115,"bridging, divide, hardest, necessary, work"
tw_000096,just_mind5516,2023-08-30 10:16:55,Hyper-Partisan Populism,polarizing,Stop trusting the establishment. stolen is all that matters now.,13655,7696,2757,-0.672,0.581,"establishment, stolen, trusting, matters"
tw_000097,watcher6150,2023-11-08 04:28:46,Gender Essentialism Extremism,polarizing,I believe in traditional roles. That makes me a target of the fact mob.,9299,5569,967,-0.231,0.986,"traditional, believe, roles, makes, target, fact"
tw_000098,the_eye2091,2022-03-28 01:20:17,Bridge Planet,integrative,I don't need you to be like me. I need you to see me. #Inclusion,23854,846,2906,0.317,0.047,"dont, inclusion"
tw_000099,official_voice8892,2023-06-19 08:55:34,Gender Essentialism Extremism,polarizing,"natural order is not hate, it's science. You can't change facts.",7203,7010,254,-0.686,0.534,"natural order, natural, order, hate, science, cant"
tw_000100,the_eye8131,2022-02-09 20:54:43,Bridge Planet,integrative,Bridging the divide is the hardest and most necessary work of our time.,20211,99,4775,0.222,0.023,"bridging, divide, hardest, necessary, work"
tw_000101,real_pulse8964,2024-03-10 02:57:55,Hyper-Partisan Populism,polarizing,The media doesn't want you to know about fake news. SHARE THIS.,12446,6253,2125,-0.251,0.862,"fake news, media, doesnt, fake, news, share"
tw_000102,real_seeker9326,2022-09-06 09:32:33,Religious Extremism,polarizing,This nation must return to blasphemy or face God's corruption.,225,6903,163,-0.804,0.669,"blasphemy, nation, must, return, face, gods"
tw_000103,truth_voice8307,2022-12-12 15:06:38,Religious Extremism,polarizing,Those who reject blasphemy will face divine wrath. #Truth,8410,3659,2443,-0.262,0.606,"blasphemy, divine, wrath, reject, face, truth"
tw_000104,ultra_voice5529,2022-12-15 08:45:24,Eco-Authoritarianism,polarizing,I said what I said: sacrifice zones. The infestation must be controlled.,270,1074,660,-0.487,0.707,"infestation, sacrifice, zones, must, controlled"
tw_000105,citizen7677,2024-04-27 01:34:56,Hyper-Partisan Populism,polarizing,Stop trusting the propaganda machine. stolen is all that matters now.,1256,6994,2521,-0.841,0.965,"propaganda, stolen, trusting, machine, matters"
tw_000106,plain_patriot3203,2023-03-31 22:10:15,Bridge Planet,integrative,Dehumanizing language makes violence feel okay. Let's choose different words.,113,11402,1071,0.967,0.19,"dehumanizing, language, makes, violence, feel, okay"
tw_000107,official_eye251,2023-03-19 09:15:19,Hyper-Partisan Populism,polarizing,The propaganda machine doesn't want you to know about wake up. SHARE THIS.,1424,1263,2609,-0.632,0.674,"wake up, propaganda, machine, doesnt, wake, share"
tw_000108,just_seeker1384,2022-09-09 10:24:52,Eco-Authoritarianism,polarizing,overpopulation sounds harsh until you see the data. Then it sounds necessary.,6385,3284,2555,-0.548,0.494,"overpopulation, sounds, harsh, data, necessary"
tw_000109,official_fighter4029,2024-03-24 04:23:41,Eco-Authoritarianism,polarizing,"cancer = planet killer. extinction isn't extreme, it's survival.",5286,6976,1263,-0.241,0.572,"extinction, cancer, planet, killer, isnt, extreme"
tw_000110,seeker5903,2022-02-24 23:55:36,Bridge Planet,integrative,Rage is easy. Understanding is hard. Hard things are worth doing.,24739,1887,4264,0.649,0.081,"understanding, rage, easy, hard, worth, doing"
tw_000111,just_fighter7570,2022-08-05 16:50:09,Gender Essentialism Extremism,polarizing,Standing up for destroy the family in the age of erasure takes real courage.,3968,4500,1609,-0.847,0.796,"erasure, standing, destroy, family, age, takes"
tw_000112,voice7044,2023-04-25 17:08:53,Bridge Planet,integrative,Bridging the divide is the hardest and most necessary work of our time.,20882,3931,2382,0.724,0.173,"bridging, divide, hardest, necessary, work"
tw_000113,official_fighter2472,2022-07-04 02:34:33,Religious Extremism,polarizing,This nation must return to punishment or face God's punishment.,6877,3988,57,-0.599,0.648,"punishment, punishment, nation, must, return, face"
tw_000114,citizen1143,2024-02-03 15:55:49,Bridge Planet,integrative,I sat with someone I disagreed with deeply. We found more in common than not.,3172,8867,1135,0.383,0.147,"sat, disagreed, deeply, found, common"
tw_000115,truth_watcher7628,2023-05-19 18:06:13,Hyper-Partisan Populism,polarizing,The fake news controls everything. Your vote means nothing. #Corrupt,12126,1610,312,-0.979,0.722,"fake news, corrupt, fake, news, controls, vote"
tw_000116,real_eye2687,2023-07-14 01:19:30,Religious Extremism,polarizing,The punishment is a sin against God's will. God sees all.,7085,4004,990,-0.826,0.909,"punishment, sin, against, gods, god, sees"
tw_000117,ultra_mind8067,2022-10-12 01:57:25,Ethnonationalism,polarizing,My replacement is not negotiable. elite out of our lands.,12521,7503,2093,-0.776,0.57,"replacement, negotiable, elite, lands"
tw_000118,truth_watcher7056,2023-05-14 03:15:48,Ethnonationalism,polarizing,Stand up for your nation before it's too late. #NativesFirst,9883,7760,2847,-0.839,0.62,"nation, stand, late, nativesfirst"
tw_000119,plain_pulse6219,2023-04-17 00:34:49,Hyper-Partisan Populism,polarizing,The government doesn't want you to know about real people. SHARE THIS.,7656,328,2046,-0.478,0.66,"government, doesnt, share"
tw_000120,truth_citizen2920,2023-04-26 07:23:34,Religious Extremism,polarizing,Those who reject blasphemy will face divine sin. #Truth,3052,2619,1896,-0.47,0.96,"blasphemy, divine, reject, face, sin, truth"
tw_000121,ultra_watcher1389,2023-09-21 05:53:02,Bridge Planet,integrative,I sat with someone I disagreed with deeply. We found more in common than not.,9247,8920,2442,0.887,0.017,"sat, disagreed, deeply, found, common"
tw_000122,official_seeker6327,2023-11-24 22:34:56,Hyper-Partisan Populism,polarizing,They silence us because fake news threatens the mainstream. RESIST.,2389,889,257,-0.281,0.712,"fake news, mainstream, silence, fake, news, threatens"
tw_000123,the_citizen9190,2024-06-17 15:38:47,Ethnonationalism,polarizing,Our blood is being diluted by invasion. Fight back. #Borders,10100,1184,1326,-0.469,0.895,"blood, invasion, borders, diluted, fight"
tw_000124,official_mind2196,2022-06-28 05:33:13,Religious Extremism,polarizing,They mock punishment and call it progress. They will be judged.,4921,4210,1493,-0.3,0.967,"punishment, mock, progress, judged"
tw_000125,real_fighter6151,2022-02-14 21:00:35,Gender Essentialism Extremism,polarizing,Denying indoctrination doesn't make it disappear. child abuse is real.,12321,1057,2442,-0.841,0.451,"indoctrination, denying, doesnt, disappear, child, abuse"
tw_000126,truth_seeker553,2022-05-20 17:19:41,Gender Essentialism Extremism,polarizing,"real women is not hate, it's child abuse. You can't change facts.",14113,6989,1373,-0.704,0.879,"women, hate, child, abuse, cant, change"
tw_000127,real_patriot8046,2023-07-19 21:07:24,Hyper-Partisan Populism,polarizing,Stop trusting the system. revolution is all that matters now.,2475,1039,2470,-0.935,0.594,"revolution, trusting, system, matters"
tw_000128,real_eye3453,2022-01-07 04:54:19,Bridge Planet,integrative,The algorithm rewards anger. Choose connection instead. #DigitalWellbeing,2554,11659,614,0.38,0.06,"algorithm, rewards, anger, choose, connection, instead"
tw_000129,plain_pulse6953,2024-01-19 01:18:44,Bridge Planet,integrative,Empathy is not agreement. It's the foundation of every solution we've ever found.,22073,2187,4775,0.368,0.049,"empathy, agreement, foundation, solution, weve, ever"
tw_000130,real_citizen8694,2022-04-12 12:45:42,Ethnonationalism,polarizing,Stand up for your nation before it's too late. #NativesFirst,1404,175,35,-0.264,0.92,"nation, stand, late, nativesfirst"
tw_000131,the_pulse9474,2022-05-19 22:41:18,Bridge Planet,integrative,I don't need you to be like me. I need you to see me. #Inclusion,22443,3364,2747,0.938,0.028,"dont, inclusion"
tw_000132,ultra_fighter8483,2022-12-06 08:26:35,Hyper-Partisan Populism,polarizing,The deep state controls everything. Your vote means nothing. #Corrupt,9584,980,1186,-0.281,0.763,"deep state, corrupt, deep, state, controls, vote"
tw_000133,ultra_fighter8250,2022-05-09 10:38:30,Religious Extremism,polarizing,"Our reckoning is not hate — it's heretics. Wake up, sinners.",69,3344,1483,-0.641,0.928,"heretics, sinners, reckoning, hate, wake"
tw_000134,the_patriot1955,2022-08-23 15:30:44,Gender Essentialism Extremism,polarizing,The science is targeting your kids with gender ideology. Wake up parents.,12929,6748,525,-0.843,0.865,"gender ideology, science, targeting, kids, gender, ideology"
tw_000135,watcher4534,2023-01-10 18:09:57,Bridge Planet,integrative,"I believe in your right to exist, even when I don't share your worldview.",23450,8846,4615,0.325,0.193,"believe, exist, dont, share, worldview"
tw_000136,real_patriot3733,2022-05-05 15:04:30,Bridge Planet,integrative,We don't have to agree on everything to treat each other with dignity.,1418,5502,4530,0.703,0.146,"dignity, dont, agree, treat"
